id,Full Name,Born,Age,Batting_style,Bowling_style,Playing_role,Bio
23,Mohammed Shami Ahmed,"September 03, 1990, Amroha, Uttar Pradesh",32y 359d,Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new.There were plenty of frustrating times as well. Shami was hopeful of a return to the Indian team in early 2016, but a hamstring injury ruled him out a limited-overs tour of Australia and the Asia Cup in February. He was selected in a 15-man squad for the World T20 in March, but was unable to break into the XI having spent a year out of international cricket.Shami hails from Uttar Pradesh, but plays first-class cricket for Bengal from where he was noticed. He had played only 15 first-class and 15 List A games when he was drafted into India's ODI team to play Pakistan in Delhi in January 2013. He showed the faith wasn't misplaced and returned figures of 9-4-23-1 in a 10-run win, thus becoming only the eighth bowler, and the first Indian, to bowl four or more maiden overs on his ODI debut. His Test debut, which happened in November that year against the touring West Indies, was even more spectacular. He reverse-swung the old ball appreciably,  and at good pace, in the two-match series to take 11 wickets at 16.54. In the summer that followed in England, Shami and Bhuvneshwar Kumar, recorded the second-highest 10th wicket partnership for India in Tests, when they put on 111 runs against England in Nottingham.Shami's quick promotion to international cricket was the result of impressive performances in the 2012-13 Ranji Trophy: in five matches he took 28 wickets at 21.35, including two ten-wicket hauls, against Madhya Pradesh and Hyderabad. He has also enjoyed early success in the Twenty20 format, picking up 14 wickets in his first eight domestic Twenty20 games, and was signed by Kolkata Knight Riders for the 2011 IPL season. He got his first game for them in 2013, and was acquired by Delhi Daredevils in 2014, who retained him in 2016 despite his missing the entire 2015 season with injury. ESPNcricinfo staff"
24,Kuldeep Yadav,"December 14, 1994, Kanpur, Uttar Pradesh",28y 257d,Left hand Bat,Left arm Wrist spin,Bowler,"Kuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations.There haven't been too many bowlers of his ilk in India, and Kuldeep, therefore, attracted immediate attention after successful stints at the Under-19 level.Kuldeep played his first India U-19 game in April 2012 as a 17-year old and and despite consistently taking wickets, he stayed below the radar.  It was the 2014 edition of the U-19 World Cup in Dubai that pushed his stocks higher. After a wicketless spell in the opening game against Pakistan, Kuldeep picked up a hat-trick in the next game against Scotland. ""As Kuldeep, mere ko wicket nikaalna hai (As Kuldeep, I knew I had to take wickets),"" he said after the match.He gained in stature in the games that followed, repeatedly troubling batsmen with his turn and finished with 14 wickets, the joint second-highest in the tournament. The performance seemed to justify why Kolkata Knight Riders' scouts had forked out $66,000 for him in the IPL auction prior to the Under-19 World Cup.Kuldeep had been part of the Mumbai Indians set-up in the 2012 season where he had a fond memory of bamboozling Sachin Tendulkar once in the nets with his wrong'un. That did not translate into an IPL debut. Nor did it happen with Knight Riders in the 2014 season. He had to wait until the Champions League where, playing as a support bowler to Sunil Narine, he impressed with his economy. Following those performances, he was included in India's ODI squad for the series against West Indies in October 2014, and he made his first-class and List A debuts shortly after.Having established himself in the Uttar Pradesh and India A sides, Kuldeep made his Test debut against Australia in a deciding match in Dharamsala in March 2017 and claimed 4 for 68 in the first innings.ESPNcricinfo staff"
25,Yuzvendra Singh Chahal,"July 23, 1990, Jind, Haryana",33y 36d,Right hand Bat,Legbreak Googly,Bowler,"Yuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad.He didn't play a game that season but was still named in Mumbai's Champions League T20 squad the same year. It was in the Champions League that he got an extended run in the side - he featured in the playing XI in all the matches and starred in Mumbai's win in the final with a spell of 3-0-9-2. However, in the next two years with Mumbai, he managed only one game. His IPL fortunes mirrored those in domestic cricket, where he played in only eight matches in three seasons from 2011-12 onwards and picked up just 16 wickets.It was with Royal Challengers Bangalore, though, that he found the bulk of his success. He was their highest wicket-taker for two years running since the 2015 season and by virtue of that earned his first India caps in ODIs and T20Is on a tour of Zimbabwe in June 2016. While that series may have been seen as an opportunity to blood new players into international cricket, Chahal was called up again into the Indian T20 line-up to face England in January 2017, and delivered in style in the deciding game: his 6 for 25 in that match in Bangalore was part of an England collaspse of 8 for 8, and the third-best figures till then in T20Is.ESPNcricinfo staff"
26,Kedar Mahadav Jadhav,"March 26, 1985, Pune, Maharashtra",38y 155d,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Kedar Jadhav is an attacking middle-order batsman from Maharashtra who came into the limelight with a 29-ball 50 for Delhi Daredevils on his IPL debut. He scored six fifties and one century during the 2008-09 first-class season and those who have seen him bat for Maharashtra rate him as a natural Twenty20 player. Initially a part of the Royal Challengers Bangalore development squad, he was drafted in by Delhi, for whom his innings against Bangalore was a shot in the arm in a struggling season. He eventually returned to the Bangalore franchise in 2016.In the Ranji Trophy, he made a name for himself in 2013-14, finishing as the season's highest run-getter with 1223 runs including six centuries. He was one of the few bright spots in Daredevils' failed campaign in 2014 and his fulfilling season earned him an India call-up for the Bangladesh ODIs in June 2014. But he didn't make his debut till November that year, slotting in at No. 6 against Sri Lanka. His next two stints in the ODI squad were tours to Zimbabwe, one in July 2015 - where he scored an unbeaten century - and one in June 2016, where he didn't get to bat during any of India's three chases. This sporadic relation with the Indian team was finally cut short when he featured in all five ODIs against New Zealand at home in October 2016. His performances as the last recognized batsman in a team playing five bowlers - along with a newly-adopted skill in offspin - earned him a call up for the England series in January 2017, along with a semblance of security as an Indian player.ESPNcricinfo staff"
27,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",36y 345d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century.All through his career Ashwin has been a cricket nerd with a deep appreciation of the nuances of the game and an acute knowledge of his craft. And it was that sharp brain, along with the carrom ball, an equally good arm ball, and masterly control over his offbreaks that made him a quintessential limited-overs spinner early in his career. It was in Test cricket, though, that he became a force after he brought the full scope of his talents to bear on it.His success was desperately needed by India in the time after Anil Kumble retired and Harbhajan Singh was on the wane. Ashwin took nine wickets in his maiden Test, in which he was Player of the Match. In his first 16 Tests he collected nine five-fors, and he went on to be the fastest to 300 wickets and the second fastest to 400, behind only Muthiah Muralidaran.Among the highlights of Ashwin's Test career: 30 five-fors and counting, 90-odd wickets apiece against both Australia and England, and over 50 wickets a year four times. He reached his zenith in the 2016-17 home season, when he took 27 wickets in a three-Test series against New Zealand, 28 in five matches against England, six in a game against Bangladesh, and 21 against Australia in four Tests.Ashwin was picked by Chennai Super Kings in the IPL in 2009, and was one of the rare players who came into the public's reckoning through the IPL and proved himself good enough to have great success in Test cricket. He spent six seasons at CSK, winning the title twice, bowling at the top and the death, and coming on when wickets were required. He was the Man of the Series in the 2010 Champions League in South Africa.He was part of the winning squad in the 2011 World Cup, but got few chances in that tournament ahead of Harbhajan. In the 2015 tournament, he made up with 13 wickets from eight games in India's run to the semi-final. In T20Is his finest hour was the World Cup in 2014, when he took 4 for 11 against Australia, and 11 wickets in all in the tournament, where India lost in the final.An opener with the bat before he took up offspin, Ashwin has been a more than handy lower-order batter, correct, possessed of shots, and with five Test hundreds to his name."
28,Mohammed Siraj,"March 13, 1994, Hyderabad",29y 168d,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand.Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up.Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after."
29,Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",29y 265d,Right hand Bat,Right arm Fast,Bowler,"Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him.Besides, like his Mumbai Indians team-mate, Lasith Malinga, Bumrah carved himself a reputation for possessing an uncanny ability to hit the blockhole. And, it was during his time in the IPL that he learned from the Sri Lankan to judiciously use the yorker.A regular member of the India A team, Bumrah was on the fringes of national selection before a debilitating left knee injury at the end of 2014 kept him out for four-and-a-half months. He had to wait more than a year before earning another call-up, one which came on the back of a fruitful 2015-16 domestic season, where he was Gujarat's second-highest wicket-taker in the Ranji Trophy and topped the bowling charts in the Vijay Hazare Trophy - that included a five-for in the List-A final that gave Gujarat their maiden one-day title.Those performances, and an untimely injury to Mohammed Shami, meant Bumrah took the flight to Australia, where he played a central role for India, finishing as the highest wicket-taker from either side as the visitors swept the T20Is 3-0. It was a showing that earned him the praise of MS Dhoni - who called him the find of the tour - as well as a place in India's squad for the 2016 World T20.ESPNcricinfo staff"
30,Ruturaj Dashrat Gaikwad,"January 31, 1997, Pune, Maharashtra",26y 209d,Right hand Bat,Right arm Offbreak,Batter,"Ruturaj Gaikwad entered the Indian cricket fan's consciousness with a bang in 2021, when he made a whopping 635 runs for title winners Chennai Super Kings. The previous season the franchise had taken a punt on Gaikwad as one for the future, slotting him in as an anchoring opener who could attack when needed. They gave him six games and he showed what he was capable of, with over 200 runs.Towards the pointy end of the 2021 tournament, Gaikwad made 70 in the qualifier against Delhi Capitals and put on a partnership of 61 with Faf du Plessis in the final, taking CSK to 192, which turned out to be plenty. Fresh off that success, he captained Maharashtra in the Syed Mushtaq Ali T20 tournament and made 259 runs.Gaikwad's first-class, List A and T20 debuts came in 2016-17, and he shone in the middle format, with 444 runs, the third highest in the Vijay Hazare Trophy that year. He showed he had the game for all requirements when he produced 187 not out against Sri Lanka A in a List A game June 2019, and later in the year, a hundred and a fifty against Chhatisgarh in the Ranji Trophy."
31,Bhuvneshwar Kumar Singh,"February 05, 1990, Meerut, Uttar Pradesh",33y 204d,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Bhuvneshwar demonstrated his mastery of line and length early, when at 19 he worked Sachin Tendulkar over for his first duck in domestic first-class cricket, in the 2008-09 Ranji Trophy final. He was handy with the bat too - in the 2012-13 Duleep Trophy semi-final he scored 128 batting at No. 8.He was one of the lone bright spots on India's otherwise wretched tour of England in 2014, taking 19 wickets - including 6 for 82 in the win at Lord's -at 26.63. However, an ankle injury in Australia put him out of commission for most of the next year, and he played just one game in the 2015 ODI World Cup. When he returned he wasn't quite the same bowler - he had traded swing for increased pace, but not always effectively. Despite two more five-fors in 2016, against West Indies away and New Zealand at home, his appearances in Tests became more sporadic as injuries dogged him, and he played his last series against South Africa in 2018.It was in white-ball cricket that Bhuvneshwar found his niche. In 2013, six months into his ODI career, he picked up 4 for 8 against Sri Lanka in a tri-series game in the Caribbean, and finished as the leading wicket-taker with ten wickets in four games. By 2017 he had formed a devastating partnership with Jasprit Bumrah, and developed slower balls and yorkers that made him India's go-to bowler at the death. In February 2018, he became the second Indian bowler after Yuzvendra Chahal to take five wickets in a T20I, against South Africa in Johannesburg. In 2022, he went one better, picking up 5 for 4 against Afghanistan in the Asia Cup.Bhuvneshwar's rise in white-ball cricket mirrored his success in the IPL. He was handed a contract by Royal Challengers Bangalore in 2009 but went two seasons without playing a game in the tournament. After another three unremarkable seasons with Pune Warriors, he was signed by Sunrisers Hyderabad in 2014, and quickly rose through the ranks to become the lynchpin of their powerplay and death bowling. He took upwards of 18 wickets in each of his first four seasons, won the purple cap two years in a row, in 2016 and 2017, and was instrumental in Sunrisers' only title win, in 2016. Though his performances tapered off in later seasons, he remains the franchise's all-time leading wicket-taker."
32,Venkatesh Rajasekaran Iyer,"December 25, 1994, Indore, Madhya Pradesh",28y 246d,Left hand Bat,Right arm Medium,Allrounder,No bio
33,Rahul Desraj Chahar,"August 04, 1999, Bharaatpur, Rajasthan",24y 24d,Right hand Bat,Legbreak Googly,Bowler,"Legspinner Rahul Chahar was a key member of Mumbai Indians' two IPL title-winning sides at the end of the 2010s. He took 28 wickets in the wins in 2019 and 2020, playing nearly all the team's games. The year after, fresh off two T20Is against England, when Mumbai had a middling season, he did just as well, taking 13 wickets and finishing as their second most prolific wicket-taker.Like many leggies who make an impact in T20, Chahar is not a big turner of the ball, but has good loop and drift, and makes subtle use of his variations in length and pace.Like his cousin Deepak, Chahar plays for Rajasthan in the Ranji Trophy, for whom he made his first-class and List A debuts in 2016-17. Two seasons on, though the team had a dismal outing in the Vijay Hazare Trophy, Chahar was third on the wicket-takers' list for the tournament, with 20."
